timestamp,charging_demand,station_load,queue_length,electricity_price,renewable_energy_ratio,station_id,hour,day_of_week,day_of_month,month,is_weekend,is_peak_hour,location_type_Highway,location_type_Urban,weather_condition_Clear,weather_condition_Cloudy,weather_condition_Rainy,traffic_density_High,traffic_density_Low,traffic_density_Medium
2025-01-01 06:00:00,10.813106425479011,15.103697255479736,5.0,11.28,0.1582821860536127,ST001,6,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 07:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,7,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 08:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,8,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 09:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,9,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 10:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,10,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 11:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,11,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 12:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,12,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 13:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,13,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 14:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,14,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 15:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,15,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 16:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,16,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 17:00:00,0.0,0.0,0.0,11.28,0.1582821860536127,ST001,17,2,1,1,0,1,True,False,True,False,False,False,True,False
2025-01-01 18:00:00,80.59695214556858,79.39622458628344,6.0,6.39,0.3382075567810888,ST001,18,2,1,1,0,1,True,False,False,True,False,True,False,False
2025-01-01 19:00:00,0.0,0.0,0.0,6.39,0.3382075567810888,ST001,19,2,1,1,0,1,True,False,False,True,False,True,False,False
2025-01-01 20:00:00,0.0,0.0,0.0,6.39,0.3382075567810888,ST001,20,2,1,1,0,1,True,False,False,True,False,True,False,False
2025-01-01 21:00:00,0.0,0.0,0.0,6.39,0.3382075567810888,ST001,21,2,1,1,0,1,True,False,False,True,False,True,False,False
2025-01-01 22:00:00,33.35356944832603,34.30108856804914,8.0,9.98,0.120152619974713,ST001,22,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-01 23:00:00,0.0,0.0,0.0,9.98,0.120152619974713,ST001,23,2,1,1,0,0,True,False,True,False,False,False,True,False
2025-01-02 00:00:00,0.0,0.0,0.0,9.98,0.120152619974713,ST001,0,3,2,1,0,0,True,False,True,False,False,False,True,False
2025-01-02 01:00:00,0.0,0.0,0.0,9.98,0.120152619974713,ST001,1,3,2,1,0,0,True,False,True,False,False,False,True,False
2025-01-02 02:00:00,0.0,0.0,0.0,9.98,0.120152619974713,ST001,2,3,2,1,0,0,True,False,True,False,False,False,True,False
2025-01-02 03:00:00,0.0,0.0,0.0,9.98,0.120152619974713,ST001,3,3,2,1,0,0,True,False,True,False,False,False,True,False
2025-01-02 04:00:00,0.0,0.0,0.0,9.98,0.120152619974713,ST001,4,3,2,1,0,0,True,False,True,False,False,False,True,False
2025-01-02 05:00:00,22.735569161453487,23.050174993767644,8.0,5.01,0.1476814849830269,ST001,5,3,2,1,0,0,True,False,False,False,True,False,True,False
2025-01-02 06:00:00,0.0,0.0,0.0,5.01,0.1476814849830269,ST001,6,3,2,1,0,0,True,False,False,False,True,False,True,False
2025-01-02 07:00:00,0.0,0.0,0.0,5.01,0.1476814849830269,ST001,7,3,2,1,0,0,True,False,False,False,True,False,True,False
2025-01-02 08:00:00,63.5141659265602,63.88793635916704,1.0,5.31,0.1773048665533641,ST001,8,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-02 09:00:00,0.0,0.0,0.0,5.31,0.1773048665533641,ST001,9,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-02 10:00:00,0.0,0.0,0.0,5.31,0.1773048665533641,ST001,10,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-02 11:00:00,0.0,0.0,0.0,5.31,0.1773048665533641,ST001,11,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-02 12:00:00,0.0,0.0,0.0,5.31,0.1773048665533641,ST001,12,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-02 13:00:00,0.0,0.0,0.0,5.31,0.1773048665533641,ST001,13,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-02 14:00:00,0.0,0.0,0.0,5.31,0.1773048665533641,ST001,14,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-02 15:00:00,0.0,0.0,0.0,5.31,0.1773048665533641,ST001,15,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-02 16:00:00,0.0,0.0,0.0,5.31,0.1773048665533641,ST001,16,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-02 17:00:00,68.28245760275465,72.46331520391855,5.0,11.435,0.23489681686033448,ST001,17,3,2,1,0,1,True,False,True,False,False,True,False,False
2025-01-02 18:00:00,0.0,0.0,0.0,11.435,0.23489681686033448,ST001,18,3,2,1,0,1,True,False,True,False,False,True,False,False
2025-01-02 19:00:00,0.0,0.0,0.0,11.435,0.23489681686033448,ST001,19,3,2,1,0,1,True,False,True,False,False,True,False,False
2025-01-02 20:00:00,0.0,0.0,0.0,11.435,0.23489681686033448,ST001,20,3,2,1,0,1,True,False,True,False,False,True,False,False
2025-01-02 21:00:00,0.0,0.0,0.0,11.435,0.23489681686033448,ST001,21,3,2,1,0,1,True,False,True,False,False,True,False,False
2025-01-02 22:00:00,0.0,0.0,0.0,11.435,0.23489681686033448,ST001,22,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-02 23:00:00,0.0,0.0,0.0,11.435,0.23489681686033448,ST001,23,3,2,1,0,0,True,False,True,False,False,True,False,False
2025-01-03 00:00:00,0.0,0.0,0.0,11.435,0.23489681686033448,ST001,0,4,3,1,0,0,True,False,True,False,False,True,False,False
2025-01-03 01:00:00,0.0,0.0,0.0,11.435,0.23489681686033448,ST001,1,4,3,1,0,0,True,False,True,False,False,True,False,False
2025-01-03 02:00:00,0.0,0.0,0.0,11.435,0.23489681686033448,ST001,2,4,3,1,0,0,True,False,True,False,False,True,False,False
2025-01-03 03:00:00,29.34199585581139,26.30596050139604,4.0,5.83,0.3647249105222017,ST001,3,4,3,1,0,0,True,False,True,False,False,False,True,False
2025-01-03 04:00:00,0.0,0.0,0.0,5.83,0.3647249105222017,ST001,4,4,3,1,0,0,True,False,True,False,False,False,True,False
2025-01-03 05:00:00,0.0,0.0,0.0,5.83,0.3647249105222017,ST001,5,4,3,1,0,0,True,False,True,False,False,False,True,False
2025-01-03 06:00:00,0.0,0.0,0.0,5.83,0.3647249105222017,ST001,6,4,3,1,0,0,True,False,True,False,False,False,True,False
2025-01-03 07:00:00,0.0,0.0,0.0,5.83,0.3647249105222017,ST001,7,4,3,1,0,0,True,False,True,False,False,False,True,False
2025-01-03 08:00:00,0.0,0.0,0.0,5.83,0.3647249105222017,ST001,8,4,3,1,0,0,True,False,True,False,False,False,True,False
2025-01-03 09:00:00,0.0,0.0,0.0,5.83,0.3647249105222017,ST001,9,4,3,1,0,0,True,False,True,False,False,False,True,False
