timestamp,station_id,location_type,vehicle_id,vehicle_type,arrival_time,charging_start_time,charging_end_time,waiting_time,battery_capacity_kWh,initial_soc,final_soc,energy_consumed_kWh,charging_power_kW,charging_duration,queue_length,station_load,electricity_price,renewable_energy_ratio,traffic_density,weather_condition,day_of_week,time_slot,charging_demand,assigned_charger_id,charging_priority,optimization_reward
2025-01-01 00:00:00,ST004,Urban,EV10000,Two-Wheeler,2025-01-01 00:00:00,2025-01-01 00:12:00,2025-01-01 04:33:00,12,60,48.98455001363846,99.86557637386134,30.52861581613373,7,261.67384985257485,4,15.16167224336399,13.66,0.2803345035229627,Low,Cloudy,Wednesday,Off-Peak,17.242398021324444,CH4,Low,-8.622299342983919
2025-01-01 00:15:00,ST005,Urban,EV10001,Two-Wheeler,2025-01-01 00:15:00,2025-01-01 00:23:00,2025-01-01 01:12:00,8,100,58.49549260809972,100.0,41.50450739190028,50,49.91651800334025,3,20.99721943430511,5.47,0.39212665565243776,Low,Rainy,Wednesday,Off-Peak,18.324932838608152,CH9,Low,-1.935644217287888
2025-01-01 00:30:00,ST019,Highway,EV10002,Car,2025-01-01 00:30:00,2025-01-01 00:41:00,2025-01-01 01:35:00,11,75,35.71172192068058,95.73346387809403,45.01630646806008,50,54.01956776167209,8,31.606150771755594,9.5,0.10397948834795996,Low,Clear,Wednesday,Off-Peak,36.028168328604124,CH2,Low,-18.20184550391232
2025-01-01 00:45:00,ST008,Urban,EV10003,Two-Wheeler,2025-01-01 00:45:00,2025-01-01 00:54:00,2025-01-01 03:29:00,9,40,29.270825126995806,100.0,28.29166994920168,11,155.77336972922916,3,21.803049874792027,6.22,0.2485530730333811,Low,Clear,Wednesday,Off-Peak,17.14693508594421,CH9,Medium,-7.404017783956974
2025-01-01 01:00:00,ST008,Highway,EV10004,Two-Wheeler,2025-01-01 01:00:00,2025-01-01 01:08:00,2025-01-01 06:14:00,8,75,25.58555380447055,100.0,55.81083464664709,11,306.3694790025375,5,15.62626584911117,13.42,0.23492624001092974,Low,Cloudy,Wednesday,Off-Peak,14.577768209129315,CH1,Low,-6.577465969494343
2025-01-01 01:15:00,ST014,Highway,EV10005,Bus,2025-01-01 01:15:00,2025-01-01 01:18:00,2025-01-01 02:15:00,3,75,39.89499894055426,100.0,45.0787507945843,50,57.82379866262832,0,20.416685200516476,14.61,0.3533601546034455,Low,Clear,Wednesday,Off-Peak,22.889886301890286,CH4,Medium,3.517467598000069
2025-01-01 01:30:00,ST004,Urban,EV10006,Bus,2025-01-01 01:30:00,2025-01-01 01:51:00,2025-01-01 02:23:00,21,30,24.046725484369038,100.0,22.78598235468929,50,32.69810476071399,2,15.30533878126005,5.16,0.22702044421191092,Low,Clear,Wednesday,Off-Peak,14.254153963015746,CH6,Medium,-18.25045442989468
2025-01-01 01:45:00,ST020,Highway,EV10007,Car,2025-01-01 01:45:00,2025-01-01 01:49:00,2025-01-01 02:51:00,4,60,19.942120204440258,100.0,48.03472787733584,50,62.11333510334682,7,18.480893034681806,8.58,0.13476071785753893,Low,Rainy,Wednesday,Off-Peak,22.11192729343774,CH8,High,-7.153357071210194
2025-01-01 02:00:00,ST004,Highway,EV10008,Car,2025-01-01 02:00:00,2025-01-01 02:02:00,2025-01-01 03:11:00,2,100,46.480308916903205,100.0,53.5196910830968,50,69.72186417864026,6,23.658537495075798,14.72,0.35467414727982516,Low,Rainy,Wednesday,Off-Peak,25.87583270672453,CH5,High,0.9085169193795952
2025-01-01 02:15:00,ST020,Highway,EV10009,Two-Wheeler,2025-01-01 02:15:00,2025-01-01 02:16:00,2025-01-01 03:59:00,1,60,36.1366414690997,99.54003543309511,38.04203637839725,22,103.75100830471976,2,16.034384046707924,13.96,0.24261106695463355,Low,Clear,Wednesday,Off-Peak,16.66713976647176,CH2,Low,2.0714551992974206
